pair,matcher,param_num_disparities,param_block_size,param_p1,param_p2,param_uniqueness_ratio,param_mode_hh,mae,rmse,bad_0_5,bad_1_0,bad_3_0,density,evaluated,gt_valid,elapsed_ms
random-dot-640x480-d64-s0,opencv-sgbm,64,3,200,1568,15,False,0.3412585739050277,1.5555920044327256,0.006429749987051711,0.006100493514757349,0.006100493514757349,0.9475112170499159,270306,285280,72.01333400000021
random-dot-640x480-d64-s0,opencv-sgbm,64,3,200,1568,15,True,0.2288615363720256,0.3756010177712372,0.0006610186297083806,0.00019830558891251418,0.00019830558891251418,0.9545253785754346,272307,285280,103.01008300000004
random-dot-640x480-d64-s0,opencv-sgbm,64,3,200,3200,5,False,0.5672515640937961,2.63687759124582,0.01833205950442517,0.017996064053286662,0.017996064053286662,0.9493725462703309,270837,285280,75.66420800000006
random-dot-640x480-d64-s0,opencv-sgbm,64,3,200,3200,5,True,0.22600049220296947,0.29201350862076325,0.0005434782608695652,5.141010575793184e-05,4.4065804935370154e-05,0.9545709478407179,272320,285280,100.53970799999945
random-dot-640x480-d64-s0,opencv-sgbm,64,3,200,3200,10,False,0.45879847987260275,2.1932216596124112,0.012527036434503888,0.012199434887331127,0.012199434887331127,0.941597728547392,268619,285280,73.41983299999998
random-dot-640x480-d64-s0,opencv-sgbm,64,3,200,3200,10,True,0.2278990199311893,0.34567004833129183,0.0006242884947302706,0.00015423598105100805,0.00015423598105100805,0.9545358945597308,272310,285280,100.36816599999997
random-dot-640x480-d64-s0,opencv-sgbm,64,3,200,3200,15,False,0.3703290218982833,1.738660771080079,0.00792867939105942,0.00758362806467462,0.00758362806467462,0.9346151149747617,266627,285280,70.43700000000008
random-dot-640x480-d64-s0,opencv-sgbm,64,3,200,3200,15,True,0.23378387513630952,0.48505432691098727,0.0009145232909616451,0.00046644360623344954,0.00046644360623344954,0.9544061974200785,272273,285280,91.68391600000004
random-dot-640x480-d64-s0,opencv-sgbm,64,3,392,800,5,False,0.3146337460613957,1.4107733646765397,0.0052162924650288,0.005150170447866463,0.005150170447866463,0.9542344363432417,272224,285280,66.56991599999972
random-dot-640x480-d64-s0,opencv-sgbm,64,3,392,800,5,True,0.22499631549440735,0.42402472928583784,0.0003415099882491187,0.0003194770857814336,0.0003194770857814336,0.9545709478407179,272320,285280,94.58520799999981
random-dot-640x480-d64-s0,opencv-sgbm,64,3,392,800,10,False,0.3192552765666116,1.4449009304843508,0.005441272104019781,0.00537881320748478,0.00537881320748478,0.9540766965787998,272179,285280,74.51370800000046
random-dot-640x480-d64-s0,opencv-sgbm,64,3,392,800,10,True,0.2268665621537879,0.4654774736782851,0.00044066128570274457,0.00041862822141760733,0.00041862822141760733,0.9545639371845205,272318,285280,100.1391250000001
random-dot-640x480-d64-s0,opencv-sgbm,64,3,392,800,15,False,0.32382350005409766,1.479021776035373,0.005645543659238513,0.005597762365247562,0.005597762365247562,0.9537051318003366,272073,285280,78.02366599999999
random-dot-640x480-d64-s0,opencv-sgbm,64,3,392,800,15,True,0.2298413664222391,0.528666426726342,0.0005875505385267905,0.0005655173933320359,0.0005655173933320359,0.9545604318564218,272317,285280,108.7010829999997
random-dot-640x480-d64-s0,opencv-sgbm,64,3,392,1568,5,False,0.3832583900833553,1.8345779261828064,0.008809536065417055,0.008780121921626013,0.008780121921626013,0.9533721256309591,271978,285280,71.05191600000005
random-dot-640x480-d64-s0,opencv-sgbm,64,3,392,1568,5,True,0.219296937041064,0.2757308279531692,6.242724471847148e-05,3.6721908657924405e-05,3.6721908657924405e-05,0.9545604318564218,272317,285280,95.95712499999998
random-dot-640x480-d64-s0,opencv-sgbm,64,3,392,1568,10,False,0.37516905857905997,1.7933422471647311,0.00835014653255379,0.008320692752897516,0.008320692752897516,0.9520891755468311,271612,285280,70.56829100000073
random-dot-640x480-d64-s0,opencv-sgbm,64,3,392,1568,10,True,0.21968084842770683,0.2903144282000134,8.078819904743369e-05,5.508286298688661e-05,5.508286298688661e-05,0.9545604318564218,272317,285280,88.70283400000112
random-dot-640x480-d64-s0,opencv-sgbm,64,3,392,1568,15,False,0.3394050799574182,1.5773023824280032,0.0065025940217491645,0.0064767461181987705,0.0064767461181987705,0.9492954290521592,270815,285280,108.73583300000078
random-dot-640x480-d64-s0,opencv-sgbm,64,3,392,1568,15,True,0.22090702869453904,0.3322910574269327,0.00013954632754460892,0.00011384042510218096,0.00011384042510218096,0.9545393998878295,272311,285280,94.05333299999974
random-dot-640x480-d64-s0,opencv-sgbm,64,3,392,3200,5,False,0.5417687591610109,2.5602482442198617,0.0171047296051904,0.0170826114203561,0.0170826114203561,0.9508903533370724,271270,285280,74.43141699999956
random-dot-640x480-d64-s0,opencv-sgbm,64,3,392,3200,5,True,0.2189824105289652,0.2673721746012917,5.141010575793184e-05,1.4688601645123384e-05,1.4688601645123384e-05,0.9545709478407179,272320,285280,102.03787500000061
random-dot-640x480-d64-s0,opencv-sgbm,64,3,392,3200,10,False,0.467586380562831,2.252329921294299,0.01320087956422265,0.013178630890799802,0.013178630890799802,0.9453133763320247,269679,285280,75.40629200000026
random-dot-640x480-d64-s0,opencv-sgbm,64,3,392,3200,10,True,0.21898700419823955,0.2673760739588567,5.141086091158801e-05,1.4688817403310859e-05,1.4688817403310859e-05,0.954556926528323,272316,285280,101.09641700000083
random-dot-640x480-d64-s0,opencv-sgbm,64,3,392,3200,15,False,0.40578786355109014,1.9598341577446878,0.00994108434633455,0.00991871131329704,0.00991871131329704,0.9400588895120583,268180,285280,104.28154199999895
random-dot-640x480-d64-s0,opencv-sgbm,64,3,392,3200,15,True,0.2199370206387573,0.2991352230956344,0.00010282360976971184,6.610089199481476e-05,6.610089199481476e-05,0.9545393998878295,272311,285280,90.61158300000116
random-dot-640x480-d64-s0,opencv-sgbm,64,5,200,800,5,False,0.30119400144795727,1.2547789466755614,0.005018313538057993,0.0039933432034180375,0.003978648288226067,0.9541608244531689,272203,285280,69.09737500000013
random-dot-640x480-d64-s0,opencv-sgbm,64,5,200,800,5,True,0.2522572230740658,0.757501451141623,0.002571185095941935,0.001476594869383797,0.0014361905321618525,0.9543185642176107,272248,285280,108.84066700000083
random-dot-640x480-d64-s0,opencv-sgbm,64,5,200,800,10,False,0.30701882348931125,1.3043472062646908,0.005305663538627729,0.004273190232288122,0.004258493103372256,0.9540171060011217,272162,285280,76.16945799999897
random-dot-640x480-d64-s0,opencv-sgbm,64,5,200,800,10,True,0.25263000041839506,0.7642891619949043,0.0025643003831755445,0.001462165547999809,0.0014511441996480517,0.9541468031407739,272199,285280,97.70520800000071
random-dot-640x480-d64-s0,opencv-sgbm,64,5,200,800,15,False,0.3101117062729614,1.3298737571128105,0.005453496448245069,0.004420859991400821,0.004406160540057842,0.9538663768928771,272119,285280,74.0951660000011
random-dot-640x480-d64-s0,opencv-sgbm,64,5,200,800,15,True,0.25397100847739407,0.7842476724328671,0.0026051809663788354,0.0015101965827668566,0.0015101965827668566,0.9539750420639372,272150,285280,102.23804199999975
random-dot-640x480-d64-s0,opencv-sgbm,64,5,200,1568,5,False,0.3400373184662549,1.5334758457727518,0.0070631014471461105,0.006067729376331448,0.0060236538602806144,0.9543606281547953,272260,285280,73.22608300000155
random-dot-640x480-d64-s0,opencv-sgbm,64,5,200,1568,5,True,0.24678880683431495,0.6842087855314768,0.0023318497627755987,0.0011640887792123856,0.0011383833487565915,0.954556926528323,272316,285280,95.03416700000145
random-dot-640x480-d64-s0,opencv-sgbm,64,5,200,1568,10,False,0.34500595343109136,1.566525554907813,0.007311150054925474,0.00631918497209639,0.006278771579832983,0.9541047392035894,272187,285280,70.75933399999812
random-dot-640x480-d64-s0,opencv-sgbm,64,5,200,1568,10,True,0.24745385592497912,0.6957123549020061,0.002350417933688834,0.0011788814948658058,0.0011678639108016395,0.954472798653954,272292,285280,88.45050000000043
random-dot-640x480-d64-s0,opencv-sgbm,64,5,200,1568,15,False,0.34112763358563575,1.543936446566866,0.007066384305420748,0.006084737786405482,0.006055325156622254,0.953421200224341,271992,285280,73.63454100000055
random-dot-640x480-d64-s0,opencv-sgbm,64,5,200,1568,15,True,0.2488017771221011,0.7153781635491767,0.002390929891765432,0.0012377010346005385,0.0012377010346005385,0.9544272293886708,272279,285280,101.58299999999798
random-dot-640x480-d64-s0,opencv-sgbm,64,5,200,3200,5,False,0.40277972568784365,1.9005155258773265,0.010361951531503053,0.00937317360955402,0.00932171304856039,0.9536350252383623,272053,285280,70.99716700000158
